Rank,University,Score,Country,Flag,League
528,Babol Noshirvani University of Technology,53.839,Iran,,World League
529,Oxford Brookes University,53.809,UK,,World League
530,Complutense University of Madrid,53.792,Spain,,World League
531,Chiang Mai University,53.779,Thailand,,World League
532,University of Waikato,53.715,New Zealand,,World League
533,University of Ulsan,53.705,Republic of Korea,,World League
534,University of Victoria,53.672,Canada,,World League
535,University of Pecs,53.565,Hungary,,World League
536,Aston University,53.549,UK,,World League
537,Guangzhou Medical University,53.543,China,,World League
538,Jeonbuk National University,53.485,Republic of Korea,,World League
539,Siberian Federal University,53.298,Russia,,World League
540,Dublin City University,53.297,Ireland,,World League
541,Nanjing University of Aeronautics & Astronautics,53.285,China,,World League
542,National Taras Shevchenko University of Kyiv,53.222,Ukraine,,World League
543,Liverpool John Moores University,53.215,UK,,World League
544,Ca`Foscari University of Venice,53.107,Italy,,World League
545,Universidade Federal de Lavras,53.092,Brazil,,World League
546,Chonnam National University,53.076,Republic of Korea,,World League
547,Saratov State University,52.901,Russia,,World League
548,Kyushu Institute of Technology,52.888,Japan,,World League
549,Hacettepe University,52.773,Turkey,,World League
550,National Chung Hsing University,52.685,Taiwan,,World League
551,Nanjing Agricultural University,52.588,China,,World League
552,Macau University of Science and Technology,52.587,Macau,,World League
553,Nanjing University of Technology,52.508,China,,World League
554,Kaohsiung Medical University,52.359,Taiwan,,World League
555,Istanbul University,52.149,Turkey,,World League
556,University of Turin,52.079,Italy,,World League
557,Al-Farabi Kazakh National University,52.050,Kazakhstan,,World League
558,Orel State University,52.049,Russia,,World League
559,University of Crete,52.028,Greece,,World League
560,University of Southern Queensland,51.973,Australia,,World League
561,"Northwest University, Xi`an",51.892,China,,World League
562,York University,51.850,Canada,,World League
563,Harbin Engineering University,51.830,China,,World League
564,University of Johannesburg,51.826,South Africa,,World League
566,University of Rome III,51.688,Italy,,World League
567,Universidad del Pais Vasco/Euskal Herriko Unibertsitatea,51.637,Spain,,World League
568,National Taipei University of Technology,51.631,Taiwan,,World League
569,Saint-Petersburg State Electotechnical University ``LETI``,51.458,Russia,,World League
570,Osaka Prefecture University,51.374,Japan,,World League
571,University of Salento,51.320,Italy,,World League
572,Yamagata University,51.299,Japan,,World League
573,University of Bradford,51.237,UK,,World League
574,Sogang University,51.177,Republic of Korea,,World League
575,Universidade Federal do Ceara,51.126,Brazil,,World League
576,University of Alcala,51.094,Spain,,World League
577,Northumbria University,51.057,UK,,World League
578,American University in Cairo,50.938,Egypt,,World League
579,Belarusian State University,50.936,Belarus,,World League
580,China University of Mining & Technology,50.935,China,,World League
581,Ural Federal University,50.926,Russia,,World League
582,Northeast Normal University (China),50.778,China,,World League
583,ISCTE – University Institute of Lisbon,50.720,Portugal,,World League
584,University of South Dakota,50.584,USA,,World League
585,Old Dominion University,50.552,USA,,World League
586,University of the Basque Country,50.514,Spain,,World League
587,Jiangnan University,50.510,China,,World League
588,University of Texas at Arlington,50.506,USA,,World League
589,IMT Mines Albi-Carmaux,50.252,France,,World League
590,University of Zagreb,50.186,Croatia,,World League
591,University of Zaragoza,50.107,Spain,,World League
592,Beijing Forestry University,49.989,China,,World League
593,Australian Catholic University,49.964,Australia,,World League
594,Novosibirsk State Technical University,49.915,Russia,,World League
595,Wuhan University of Technology,49.889,China,,World League
596,Universita Cattolica del Sacro Cuore,49.854,Italy,,World League
597,University of Portsmouth,49.790,UK,,World League
598,Universite du Quebec a Montreal,49.789,Canada,,World League
599,Immanuel Kant Baltic Federal University,49.699,Russia,,World League
600,University of Ulster,49.622,UK,,World League
601,Gyeongsang National University,49.521,Republic of Korea,,World League
602,Toyohashi University of Technology,49.462,Japan,,World League
603,Chonbuk National University,49.435,Republic of Korea,,World League
604,University of Salamanca,49.362,Spain,,World League
605,University of Electro-Communications,49.261,Japan,,World League
606,Pontificia Universidade Catolica do Rio Grande do Sul,49.136,Brazil,,World League
607,Concordia University,49.074,Canada,,World League
608,Altai State University,49.035,Russia,,World League
609,Bashkirian State Medical University,48.851,Russia,,World League
610,Plekhanov Russian University of Economics,48.810,Russia,,World League
611,Ryazan State Medical University,48.791,Russia,,World League
612,Shenzhen University,48.784,China,,World League
613,Samara University,48.759,Russia,,World League
614,Thammasat University,48.699,Thailand,,World League
615,University of the Ryukyus,48.532,Japan,,World League
616,Marquette University,48.504,USA,,World League
617,University of Central Florida,48.501,USA,,World League
618,Kyiv National Economic University,48.307,Ukraine,,World League
619,Edith Cowan University,47.871,Australia,,World League
620,University of Alabama Birmingham,47.859,USA,,World League
621,University of Tabriz,47.847,Iran,,World League
622,University of Valladolid,47.794,Spain,,World League
623,Universite de Tunis El Manar,47.783,Tunisia,,World League
624,Middlesex University,47.633,UK,,World League
625,Hitotsubashi University,47.609,Japan,,World League
626,Xidian University,47.606,China,,World League
627,Lebanese American University,47.494,Lebanon,,World League
628,University of Peradeniya,47.475,Sri Lanka,,World League
629,Texas Christian University,47.354,USA,,World League
630,Donghua University,47.353,China,,World League
631,University of Seville,47.323,Spain,,World League
632,Tokyo University of Science,47.266,Japan,,World League
633,Kashan University,47.194,Iran,,World League
634,University of Puerto Rico,47.140,Puerto Rico,,World League
635,University of Memphis,47.025,USA,,World League
636,University of Lucerne,47.016,Switzerland,,World League
637,University of Texas at San Antonio,46.865,USA,,World League
638,Aristotle University of Thessaloniki,46.826,Greece,,World League
639,Northern Arizona University,46.788,USA,,World League
640,San Diego State University,46.693,USA,,World League
641,National Research University of Electronic Technology (MIET),46.675,Russia,,World League
642,Zhejiang University of Technology,46.643,China,,World League
643,University of Bucharest,46.635,Romania,,World League
644,University of Vigo,46.516,Spain,,World League
645,"RANEPA, The Russian Presidential Academy of National Economy and Public Administration",46.448,Russia,,World League
646,Babes-Bolyai University,46.391,Romania,,World League
647,Tottori University,46.294,Japan,,World League
648,Inha University,46.278,Republic of Korea,,World League
649,University of Salerno,46.251,Italy,,World League
650,Monterrey Institute of Technology and Higher Education,46.187,Mexico,,World League
651,IMT MINES ALES,46.157,France,,World League
652,East Carolina University,46.030,USA,,World League
653,Gazi University,45.973,Turkey,,World League
654,King Mongkut`s University of Technology Thonburi,45.872,Thailand,,World League
655,Jiangsu University,45.699,China,,World League
656,University of Westminster,45.671,UK,,World League
657,Maynooth University,45.527,Ireland,,World League
658,University of Zilina,45.499,Slovakia,,World League
659,Tomsk State University of Control Systems and Radioelectronics (TUSUR University),45.462,Russia,,World League
660,Technical University of Moldova,45.456,Moldova,,World League
661,Coventry University,45.407,UK,,World League
662,University of the Algarve,45.334,Portugal,,World League
663,Financial University under the Government of the Russian Federation,45.318,Russia,,World League
664,Nanjing Normal University,45.313,China,,World League
665,Shantou University,45.294,China,,World League
666,Far Eastern Federal University,45.284,Russia,,World League
667,University of Central Lancashire,45.224,UK,,World League
668,Universiti Malaysia Pahang,45.083,Malaysia,,World League
669,Technical University of Sofia,45.027,Bulgaria,,World League
670,Innopolis University,44.935,Russia,,World League
671,University of Huddersfield,44.862,UK,,World League
672,Pirogov University,44.828,Russia,,World League
673,Manchester Metropolitan University,44.758,UK,,World League
674,Northeast Federal University,44.695,Russia,,World League
675,National Technical University Kharkiv Polytechnic Institute,44.651,Ukraine,,World League
676,University of West Bohemia,44.640,Czech Republic,,World League
677,Alexandria University,44.539,Egypt,,World League
678,Florida Atlantic University,44.474,USA,,World League
679,Hallym University,44.401,Republic of Korea,,World League
680,University of Hertfordshire,44.377,UK,,World League
681,Gebze Technical University,44.333,Turkey,,World League
682,Austral University (Argentina),44.320,Argentina,,World League
683,"State University of New York, Binghamton",44.257,USA,,World League
684,University of Baghdad,44.095,Iraq,,World League
685,Tokai University,44.052,Japan,,World League
686,University of Isfahan,44.016,Iran,,World League
687,Ufa State Aviation Technical University,43.936,Russia,,World League
688,Autonomous University of Mexico State,43.905,Mexico,,World League
689,University of Bari,43.791,Italy,,World League
690,Kursk State Medical University,43.673,Russia,,World League
691,University of Greenwich,43.563,UK,,World League
692,Metropolitan Autonomous University,43.465,Mexico,,World League
693,Khon Kaen University,43.462,Thailand,,World League
694,Irkutsk State University,43.403,Russia,,World League
695,Oakland University,43.250,USA,,World League
696,Eskisehir Osmangazi University,43.246,Turkey,,World League
697,TOBB University of Economics and Technology,43.231,Turkey,,World League
698,Kursk State University,43.229,Russia,,World League
699,Zhejiang Normal University,43.223,China,,World League
700,University of Basrah,43.095,Iraq,,World League
701,Glasgow Caledonian University,43.087,UK,,World League
702,Covenant University,43.046,Nigeria,,World League
703,Universite de Carthage,42.981,Tunisia,,World League
704,University of Maribor,42.942,Slovenia,,World League
705,American University of Sharjah,42.899,United Arab Emirates,,World League
706,Asia University (Taiwan),42.857,Taiwan,,World League
707,Chung Shan Medical University,42.793,Taiwan,,World League
708,Suranaree University of Technology,42.739,Thailand,,World League
709,Portland State University,42.703,USA,,World League
711,University of Tuscia,42.435,Italy,,World League
712,Ain Shams University,42.317,Egypt,,World League
713,Kazan National Research Technical University named after A.N. Tupolev,42.262,Russia,,World League
714,Sumy State University,42.253,Ukraine,,World League
715,Yeungnam University,42.225,Republic of Korea,,World League
716,Southern Cross University,42.187,Australia,,World League
717,Kookmin University,42.092,Republic of Korea,,World League
718,Iuliu Hatieganu University of Medicine and Pharmacy Cluj-Napoca,41.986,Romania,,World League
719,Belgorod National Research University,41.973,Russia,,World League
720,Abdullah Gul University,41.869,Turkey,,World League
721,University of Malaysia Perlis,41.768,Malaysia,,World League
722,University of South Africa,41.741,South Africa,,World League
723,National Chung Cheng University,41.586,Taiwan,,World League
724,South China Normal University,41.296,China,,World League
725,University of the West of England,41.281,UK,,World League
726,King Mongkut`s Institute of Technology Ladkrabang,41.268,Thailand,,World League
727,Hawler Medical University,41.050,Iraq,,World League
728,Universite de Paris-Nord - Paris 13,40.806,France,,World League
729,Cochin University of Science and Technology,40.793,India,,World League
730,University of Patras,40.790,Greece,,World League
731,Miami University,40.772,USA,,World League
732,University of South China,40.759,China,,World League
733,University of Nebraska Omaha,40.683,USA,,World League
734,University Politechica of Bucharest,40.432,Romania,,World League
735,Mohammed V University,40.375,Morocco,,World League
736,Sheffield Hallam University,40.338,UK,,World League
737,Pontificial Catholic University of Valparaiso,40.333,Chile,,World League
738,Wuhan University of Science & Technology,40.191,China,,World League
739,Chang`an University,40.161,China,,World League
740,Kasetsart University,40.146,Thailand,,World League
741,Ege University,40.076,Turkey,,World League
742,Yildiz Technical University,39.967,Turkey,,World League
743,China Pharmaceutical University,39.763,China,,World League
744,Baku State University,39.704,Azerbaijan,,World League
745,Voronezh State University,39.607,Russia,,World League
746,Cairo University,39.606,Egypt,,World League
747,Siberian State Medical University,39.596,Russia,,World League
748,Allameh Tabataba`i University,39.593,Iran,,World League
749,"Moscow State Institute of Radio Engineering, Electrical & Automation",39.523,Russia,,World League
750,Kazan National Research Technological University,39.473,Russia,,World League
751,Western Michigan University,39.368,USA,,World League
752,Moscow Technological University,39.349,Russia,,World League
753,University of Science and Technology (UST),39.299,Republic of Korea,,World League
754,National University of Uzbekistan,39.260,Uzbekistan,,World League
756,Perm State University,39.230,Russia,,World League
756,Russian State Agrarian University,39.230,Russia,,World League
757,Makerere University,39.166,Uganda,,World League
758,Universidad Pontificia Bolivariana de Medellin-Colombia,39.139,Colombia,,World League
759,De Montfort University,39.024,UK,,World League
760,Federation University Australia,38.850,Australia,,World League
761,Liaoning University,38.834,China,,World League
762,Perm National Research Polytechnic University,38.713,Russia,,World League
763,Ivane Javakhishvili Tbilisi State University,38.673,Republic of Georgia,,World League
765,Institute of Space Technology,38.590,Pakistan,,World League
766,Kharkiv National University of Radio Electronics,38.561,Ukraine,,World League
767,Moscow Pedagogical State University,38.459,Russia,,World League
768,University of Anbar,38.360,Iraq,,World League
769,Yanshan University,38.324,China,,World League
770,The Herzen State Pedagogical University of Russia,38.238,Russia,,World League
771,Izmir Institute of Technology,37.916,Turkey,,World League
772,University of Kurdistan,37.865,Iran,,World League
773,National Taipei University,37.862,Taiwan,,World League
774,Jiangsu Normal University,37.797,China,,World League
775,Moscow State University of Civil Engineering,37.775,Russia,,World League
776,National University of Ostroh Academy,37.704,Ukraine,,World League
777,London Metropolitan University,37.671,UK,,World League
778,IQS Universitat Ramon Llull,37.657,Spain,,World League
779,Dokuz Eylul University,37.604,Turkey,,World League
780,Mustansiriyah University,37.576,Iraq,,World League
781,Prince of Songkla University,37.530,Thailand,,World League
782,Alzahra University,37.435,Iran,,World League
783,Tomsk State Pedagogical University,37.409,Russia,,World League
784,New Economic School (NES),37.303,Russia,,World League
785,Xiangtan University,37.266,China,,World League
786,West University of Timisoara,37.156,Romania,,World League
787,National Dong Hwa University,37.104,Taiwan,,World League
788,National Yunlin University of Science and Technology,37.062,Taiwan,,World League
789,Bashkir State University,36.976,Russia,,World League
790,Southwest Jiaotong University,36.918,China,,World League
791,National Changhua University of Education,36.864,Taiwan,,World League
792,Samara State Technical University,36.860,Russia,,World League
793,Kuwait University,36.609,Kuwait,,World League
794,South Ural State University,36.539,Russia,,World League
795,University of Babylon,36.492,Iraq,,World League
796,King Mongkut`s University of Technology North Bangkok,36.425,Thailand,,World League
797,University of Rijeka,36.408,Croatia,,World League
798,Ataturk University,36.362,Turkey,,World League
799,Gomel State Medical University,36.166,Belarus,,World League
800,Yangzhou University,36.144,China,,World League
801,Fu Jen Catholic University,36.108,Taiwan,,World League
802,Ningbo University,36.047,China,,World League
803,Vellore Institute of Technology,35.826,India,,World League
804,Hangzhou Dianzi University,35.738,China,,World League
805,Omsk State Technical University,35.629,Russia,,World League
806,National Taiwan Ocean University,35.599,Taiwan,,World League
807,Kermanshah University of Technology,35.578,Iran,,World League
808,Erciyes University,35.564,Turkey,,World League
809,Universite de la Manouba,35.488,Tunisia,,World League
810,North-Western State Medical University named after I.I. Mechnikov,35.404,Russia,,World League
811,Leeds Beckett University,35.397,UK,,World League
812,University of Sopron,35.336,Hungary,,World League
813,Universiti Teknologi MARA,35.296,Malaysia,,World League
814,Dublin Institute of Technology,35.176,Ireland,,World League
815,Redeemer`s University,35.110,Nigeria,,World League
816,Devi Ahilya Vishwavidyalaya,35.062,India,,World League
817,University of Kufa,34.999,Iraq,,World League
818,Gabriel of Annunzio University,34.912,Italy,,World League
819,North Caucasus Federal University,34.792,Russia,,World League
820,University of Monastir,34.755,Tunisia,,World League
821,Northern (Arctic) Federal University (NArFU),34.721,Russia,,World League
822,Almazov National Medical Research Centre,34.716,Russia,,World League
823,University of Sarajevo,34.604,Bosnia And Herzegovina,,World League
824,Chernivtsi National University,34.537,Ukraine,,World League
825,Atilim University,34.535,Turkey,,World League
826,Athens University of Economics and Business,34.513,Greece,,World League
827,Tver State Technical University,34.501,Russia,,World League
828,Qingdao University,34.443,China,,World League
829,Yuan Ze University,34.329,Taiwan,,World League
830,European University at St. Petersburg,34.319,Russia,,World League
831,Damietta University,34.132,Egypt,,World League
832,Tyumen State University,34.109,Russia,,World League
833,L.N. Gumilyov Eurasian National University,34.006,Kazakhstan,,World League
834,Maikop State Technological University,33.930,Russia,,World League
835,Yeditepe University,33.848,Turkey,,World League
836,Guangdong University of Technology,33.814,China,,World League
837,Gubkin Russian State University of Oil and Gas,33.698,Russia,,World League
838,University of Information Technology and Communications,33.697,Iraq,,World League
839,Southwest Petroleum University,33.601,China,,World League
840,Shanghai Maritime University,33.598,China,,World League
841,University of Agricultural Sciences and Veterinary Medicine of Cluj-Napoca,33.512,Romania,,World League
842,Salahaddin University,33.467,Iraq,,World League
843,Hunan Normal University,33.444,China,,World League
844,University of Pardubice,33.398,Czech Republic,,World League
845,Omsk State University,33.360,Russia,,World League
846,Kemerovo State University,33.287,Russia,,World League
847,Anhui Medical University,33.276,China,,World League
848,Tomsk State University of Architecture and Building,33.087,Russia,,World League
849,University of Fallujah,33.075,Iraq,,World League
850,Kwame Nkrumah University of Science & Technology,33.036,Ghana,,World League
851,Southwest State University,32.966,Russia,,World League
852,University of Mazandaran,32.683,Iran,,World League
853,Moscow State University of Food Production,32.640,Russia,,World League
854,Reshetnev Siberian State University of Science and Technology,32.596,Russia,,World League
855,Chung Yuan Christian University,32.436,Taiwan,,World League
856,Vyatka State University,32.419,Russia,,World League
857,Tambov State Technical University,32.362,Russia,,World League
858,Amity University,32.163,India,,World League
859,Feng Chia University,32.102,Taiwan,,World League
860,Irkutsk State Technical University,32.037,Russia,,World League
861,Grigore T. Popa University of Medicine and Pharmacy,31.935,Romania,,World League
862,Don State Technical University,31.917,Russia,,World League
863,The Kosygin State University of Russia (Kosygin University),31.509,Russia,,World League
864,"California State University, Long Beach",31.507,USA,,World League
865,Ufa State Petroleum Technological University (USPTU),31.497,Russia,,World League
866,University of Samarra,31.491,Iraq,,World League
867,Mordovia State University,31.437,Russia,,World League
868,University of Mosul,31.286,Iraq,,World League
869,Tver State University,31.222,Russia,,World League
870,Volgograd State University,31.122,Russia,,World League
871,Al-Kitab University,31.033,Iraq,,World League
872,Chung Hua University,31.028,Taiwan,,World League
873,Russian New University,30.965,Russia,,World League
874,University of Quebec at Chicoutimi,30.915,Canada,,World League
875,Transilvania University of Brasov,30.814,Romania,,World League
876,Ural State University of Economics,30.659,Russia,,World League
877,Marmara University,30.545,Turkey,,World League
878,Sergo Ordzhonikidze Russian State University for Geological Prospecting,30.540,Russia,,World League
879,Institute of Telecommunications and Informatics of Turkmenistan,30.502,Turkmenistan,,World League
880,Taiyuan University of Technology,30.493,China,,World League
881,Uruk University,30.486,Iraq,,World League
882,Prigo University,30.455,Czech Republic,,World League
883,Universidad de Guadalajara,30.413,Mexico,,World League
884,Wenzhou University,30.379,China,,World League
885,"``George Emil Palade`` University of Medicine, Pharmacy, Science, and Technology  of Targu Mures",30.375,Romania,,World League
886,Democritus University of Thrace,30.216,Greece,,World League
887,Polzunov Altai State Technical University,30.194,Russia,,World League
888,I-Shou University,30.135,Taiwan,,World League
889,Kindai University,30.031,Japan,,World League
890,University of Diyala,30.004,Iraq,,World League
891,Saint Petersburg State University of Architecture and Civil Engineering,29.889,Russia,,World League
892,Suleyman Demirel University - Kazakhstan,29.855,Kazakhstan,,World League
893,Shibaura Institute of Technology,29.838,Japan,,World League
894,Rey Juan Carlos University,29.599,Spain,,World League
895,European University Skopje,29.469,North Macedonia,,World League
896,Russian State University for the Humanities,29.402,Russia,,World League
897,Moscow State Technology University Stankin,29.322,Russia,,World League
898,Beni-Suef University,29.275,Egypt,,World League
899,Odessa National Academy of Food Technologies,29.228,Ukraine,,World League
900,Dunarea de Jos University of Galati,29.208,Romania,,World League
901,Tatung University,29.181,Taiwan,,World League
902,Tamkang University,29.150,Taiwan,,World League
903,Azerbaijan University of Architecture and Construction,29.115,Azerbaijan,,World League
904,Lipetsk State Technical University,28.967,Russia,,World League
905,Platov South-Russian State Polytechnic University,28.826,Russia,,World League
906,ESIC Business and Marketing School,28.776,Spain,,World League
907,University of AL-Qadisiyah,28.462,Iraq,,World League
908,Western Caspian University,28.407,Azerbaijan,,World League
909,Volgograd State Technical University,28.154,Russia,,World League
910,Al-Ahliyya Amman University,28.062,Jordan,,World League
911,Pacific National University,28.016,Russia,,World League
912,University of Misan,27.976,Iraq,,World League
913,National Chiayi University,27.965,Taiwan,,World League
915,Omsk State Agrarian University,27.750,Russia,,World League
916,Novgorod State University,27.696,Russia,,World League
917,Orel State Agrarian University,27.672,Russia,,World League
918,British University in Egypt,27.662,Egypt,,World League
919,University of Tikrit,27.640,Iraq,,World League
920,Ninevah University,27.621,Iraq,,World League
921,Lucian Blaga University of Sibiu,27.479,Romania,,World League
922,Kafrelsheikh University,27.403,Egypt,,World League
924,Emperor Alexander I St.Petersburg State Transport University,27.210,Russia,,World League
925,Ulyanovsk State University,27.201,Russia,,World League
926,Vladimir State University named after Alexander and Nikolay Stoletovs,27.118,Russia,,World League
927,Al-Qasim green university Iraq,27.100,Iraq,,World League
928,Ming Chuan University,27.039,Taiwan,,World League
929,Bursa Uludag University,26.937,Turkey,,World League
930,Technical University of Cluj-Napoca,26.642,Romania,,World League
931,Tunghai University,26.565,Taiwan,,World League
932,NED University of Engineering and Technology,26.542,Pakistan,,World League
933,Ostrogradskiy National University of Kremenchuk,26.538,Ukraine,,World League
934,Ubon Ratchathani University,26.192,Thailand,,World League
935,Eurecom (Grande Ecole),26.176,France,,World League
936,Istanbul Gelisim University,25.710,Turkey,,World League
937,Mahasarakham University,25.567,Thailand,,World League
938,Al-Mustaqbal University College,25.524,Iraq,,World League
940,University of Dubrovnik,25.349,Croatia,,World League
940,University of Telafer,25.394,Iraq,,World League
941,Chaoyang University of Technology,25.277,Taiwan,,World League
942,Tra Vinh University,24.800,Vietnam,,World League
943,National University of Kaohsiung,24.588,Taiwan,,World League
944,University of Thi-Qar,24.562,Iraq,,World League
945,Imam Ja`afar Al-Sadiq University,24.559,Iraq,,World League
946,Togliatti State University,24.266,Russia,,World League
947,Tanta University,24.085,Egypt,,World League
948,University of Kerbala,23.922,Iraq,,World League
949,Suleyman Demirel University,23.870,Turkey,,World League
950,Taif University,23.818,Saudi Arabia,,World League
951,Mari State University,23.727,Russia,,World League
952,Guizhou University,23.724,China,,World League
953,Al-Kunooze University College,23.627,Iraq,,World League
954,Zonguldak Bulent Ecevit University,23.474,Turkey,,World League
955,Islamic University in Najaf,23.378,Iraq,,World League
956,Al-Maarif University College,23.167,Iraq,,World League
957,October 6 University (O6U),23.116,Egypt,,World League
958,Magnitogorsk State Technical University,23.005,Russia,,World League
959,Istanbul Aydin University,22.854,Turkey,,World League
960,Azerbaijan State University of Economics (UNEC),22.831,Azerbaijan,,World League
961,Belgorod State Technological University,22.804,Russia,,World League
962,EA Buketov Karaganda State University,22.664,Kazakhstan,,World League
963,Poltava National Technical Yuri Kondratyuk University,22.631,Ukraine,,World League
964,National Formosa University,22.559,Taiwan,,World League
965,Al-Muthanna University,22.495,Iraq,,World League
966,Siberian State University of Water Transport,22.413,Russia,,World League
967,Kozma Minin Nizhny Novgorod State Pedagogical University,22.315,Russia,,World League
969,Istanbul Medipol University,22.071,Turkey,,World League
970,Iraq University College,21.907,Iraq,,World League
971,Novosibirsk State University of Economics and Management,21.865,Russia,,World League
972,Voronezh State Technical University,21.577,Russia,,World League
973,Interdisciplinary Center Herzliya (IDC Herzliya),21.546,Israel,,World League
974,Can Tho University,21.294,Vietnam,,World League
975,Al-Farabi University College,21.045,Iraq,,World League
976,Al-Furat Al-Awsat Technical  University,20.971,Iraq,,World League
977,Chelyabinsk State University,20.850,Russia,,World League
978,National Institute of Higher Education,20.822,Belarus,,World League
979,Behalf of Basrah University College of Science and Technology,20.676,Iraq,,World League
980,South Ukrainian National Pedagogical University named after K.D. Ushynsky,20.256,Ukraine,,World League
981,Kirov Saint Petersburg State Lesotechnic University,20.133,Russia,,World League
982,Middle Technical University,20.025,Iraq,,World League
983,University of the Thai Chamber of Commerce,19.648,Thailand,,World League
984,Rostov State University of Economics,19.619,Russia,,World League
985,University of Ahl al-Bayt,19.463,Iraq,,World League
986,Al-Yarmouk University College,19.311,Iraq,,World League
987,Omsk State Pedagogical University,18.955,Russia,,World League
988,Soochow University (Taiwan),18.911,Taiwan,,World League
989,University of Petra (UOP),18.761,Jordan,,World League
990,Al-Noor University College,18.686,Iraq,,World League
991,Northern Technical University,18.590,Iraq,,World League
992,Shakarim University,18.405,Kazakhstan,,World League
993,Al-Karkh University of Science,18.223,Iraq,,World League
994,Madenat Al-elem University College,18.181,Iraq,,World League
995,Kherson State Maritime Academy,18.001,Ukraine,,World League
996,Azerbaijan Technical University,18.000,Azerbaijan,,World League
997,University of Al-Ameed,17.875,Iraq,,World League
998,Dijlah University College,17.798,Iraq,,World League
999,Arab American University (AAUP),17.787,Palestine,,World League
1000,Jabir Ibn Hayyan Medical University,17.519,Iraq,,World League
1000,Bilad Alrafidain University College,17.266,Iraq,,World League
1001,Kocaeli University,16.934,Turkey,,World League
1002,University of Kirkuk,16.597,Iraq,,World League
1003,University of Al-Hamdaniya,16.594,Iraq,,World League
1004,Kuban State Technological University,16.153,Russia,,World League
1005,Canadian International College,16.056,Egypt,,World League
1006,Kabardino-Balkarian State University,16.001,Russia,,World League
1007,Al-Iraqia University,15.037,Iraq,,World League
1008,Al-Kut University College,14.953,Iraq,,World League
1009,Murmansk Arctic State University,14.825,Russia,,World League
1010,University of Sumer,14.624,Iraq,,World League
1011,Al-Farahidi University College,14.502,Iraq,,World League
1012,Al-Amarah University College,14.411,Iraq,,World League
1013,Savannah College of Art and Design,13.467,USA,,World League
1014,Al-Bayan University,12.195,Iraq,,World League
1015,Karaganda University of Kaspotrebsoyuz,12.168,Kazakhstan,,World League
1016,Southern Technical University,12.091,Iraq,,World League
1017,Al-Esraa University College,11.635,Iraq,,World League
1018,University of Alkafeel,11.532,Iraq,,World League
1019,Voronezh Institute of High Technologies,11.346,Russia,,World League
1020,Baghdad College Of Economic Sciences University,11.108,Iraq,,World League
1021,Mazaya University College,10.777,Iraq,,World League
1022,Al-Ayen University,9.763,Iraq,,World League
1023,Al-Imam University College,9.438,Iraq,,World League
1024,National University for Science and Technology,9.362,Iraq,,World League
1025,Ashur University College,9.048,Iraq,,World League
1026,University College in Baghdad Iraq,7.954,Iraq,,World League
1027,Universitas Bakrie,7.599,Indonesia,,World League
1028,Al-Mansour University College,7.513,Iraq,,World League
1029,Al-Toosi University College,7.339,Iraq,,World League
1030,Al-Hikma University College,5.434,Iraq,,World League
1031,University of Warith Alanbiyaa,4.644,Iraq,,World League
1032,Imam Al-Kadhum College,4.232,Iraq,,World League
